codigo,descricao,unidade,classe,grupo,custo_total,custo_mao_obra,custo_material,custo_equipamento,referencia
5089,"ROLO COMPACTADOR VIBRATÓRIO PÉ DE CARNEIRO PARA SOLOS, POTÊNCIA 80 HP, PESO OPERACIONAL SEM/COM LASTRO 7,4 / 8,8 T, LARGURA DE TRABALHO 1,68 M - MANUTENÇÃO. AF_02/2016",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,41.71,0.00,0.00,41.71,202412
5627,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - DEPRECIAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,44.30,0.00,0.00,44.30,202412
5628,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - JUROS. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,11.70,0.00,0.00,11.70,202412
5629,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,55.37,0.00,0.00,55.37,202412
5630,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - MATERIAIS NA OPERAÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,63.65,0.00,63.65,0.00,202412
5631,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHP DIURNO. AF_06/2014",CHP,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO PRODUTIVO DIURNO,212.79,32.95,68.47,111.37,202412
5632,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHI DIURNO. AF_06/2014",CHI,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,CUSTO HORÁRIO IMPRODUTIVO DIURNO,93.77,32.95,4.82,56.00,202412
5658,"GRADE DE DISCO CONTROLE REMOTO REBOCÁVEL, COM 24 DISCOS 24"" X 6 MM COM PNEUS PARA TRANSPORTE - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,2.23,0.00,0.00,2.23,202412
5664,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,34.10,0.00,0.00,34.10,202412
5667,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X2, POTÊNCIA LÍQ. 79 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,20 M3, PESO OPERACIONAL MÍN. 6.570 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - MANUTENÇÃO. AF_06/2014",H,CUSTOS HORÁRIOS DE MÁQUINAS E EQUIPAMENTOS,COMPOSIÇÕES AUXILIARES,30.33,0.00,0.00,30.33,202412
